ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento09	rendimiento09	1591090547686	 	3.3.1
REQUEST	78		Login	1591090564137	1591090564139	OK	 
USER	rendimiento09	116	START	1591090564157	1591090564157
REQUEST	116		Home	1591090564158	1591090564163	OK	 
REQUEST	41		Logged	1591090564177	1591090564178	OK	 
REQUEST	41		Logged Redirect 1	1591090564179	1591090564182	OK	 
REQUEST	79		Login	1591090564267	1591090564268	OK	 
USER	rendimiento09	117	START	1591090564304	1591090564304
REQUEST	117		Home	1591090564304	1591090564308	OK	 
REQUEST	42		Logged	1591090564339	1591090564340	OK	 
REQUEST	42		Logged Redirect 1	1591090564341	1591090564343	OK	 
REQUEST	80		Login	1591090564413	1591090564415	OK	 
USER	rendimiento09	118	START	1591090564445	1591090564445
REQUEST	118		Home	1591090564446	1591090564452	OK	 
REQUEST	43		Logged	1591090564478	1591090564479	OK	 
REQUEST	43		Logged Redirect 1	1591090564480	1591090564483	OK	 
REQUEST	81		Login	1591090564518	1591090564519	OK	 
USER	rendimiento09	119	START	1591090564588	1591090564588
REQUEST	119		Home	1591090564589	1591090564593	OK	 
REQUEST	44		Logged	1591090564629	1591090564630	OK	 
REQUEST	44		Logged Redirect 1	1591090564631	1591090564634	OK	 
REQUEST	82		Login	1591090564639	1591090564640	OK	 
USER	rendimiento09	120	START	1591090564742	1591090564742
REQUEST	83		Login	1591090564762	1591090564800	OK	 
REQUEST	45		Logged	1591090564789	1591090564801	OK	 
REQUEST	45		Logged Redirect 1	1591090564801	1591090564804	OK	 
REQUEST	120		Home	1591090564743	1591090564843	OK	 
USER	rendimiento09	121	START	1591090564887	1591090564887
REQUEST	121		Home	1591090564888	1591090564895	OK	 
REQUEST	84		Login	1591090564893	1591090564895	OK	 
REQUEST	2		List Notification	1591090564077	1591090564905	OK	 
REQUEST	1		List Notification	1591090564077	1591090565042	OK	 
USER	rendimiento09	122	START	1591090565107	1591090565107
REQUEST	46		Logged	1591090565105	1591090565111	OK	 
REQUEST	46		Logged Redirect 1	1591090565112	1591090565115	OK	 
REQUEST	85		Login	1591090565117	1591090565120	OK	 
REQUEST	47		Logged	1591090565122	1591090565125	OK	 
REQUEST	47		Logged Redirect 1	1591090565126	1591090565128	OK	 
USER	rendimiento09	123	START	1591090565191	1591090565191
REQUEST	48		Logged	1591090565192	1591090565195	OK	 
REQUEST	86		Login	1591090565245	1591090565248	OK	 
REQUEST	48		Logged Redirect 1	1591090565196	1591090565256	OK	 
USER	rendimiento09	124	START	1591090565309	1591090565309
REQUEST	124		Home	1591090565310	1591090565317	OK	 
USER	rendimiento09	125	START	1591090565383	1591090565383
REQUEST	87		Login	1591090565381	1591090565430	OK	 
REQUEST	123		Home	1591090565192	1591090565433	OK	 
REQUEST	125		Home	1591090565384	1591090565471	OK	 
REQUEST	88		Login	1591090565474	1591090565489	OK	 
USER	rendimiento09	127	START	1591090565684	1591090565684
REQUEST	127		Home	1591090565686	1591090565692	OK	 
USER	rendimiento09	126	START	1591090565566	1591090565566
REQUEST	126		Home	1591090565712	1591090565723	OK	 
REQUEST	3		List Notification	1591090564207	1591090565860	OK	 
REQUEST	52		Logged	1591090565689	1591090565877	OK	 
REQUEST	52		Logged Redirect 1	1591090565878	1591090565882	OK	 
USER	rendimiento09	128	START	1591090565900	1591090565900
USER	rendimiento09	129	START	1591090565913	1591090565913
USER	rendimiento09	130	START	1591090566023	1591090566023
REQUEST	130		Home	1591090566024	1591090566120	OK	 
REQUEST	129		Home	1591090565914	1591090566140	OK	 
REQUEST	128		Home	1591090565905	1591090566152	OK	 
